region,region_previous,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,gender,edu_comp,degree_year,eui,dist_cult,eoi,soc_media
MB,mb,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,important,no,yes,yes i do know it is ,zed,neither unimportant nor important,might or might not,probably yes,definitely not,yes ,no particular variety,often,yes,yes,definitely yes,probably yes,disagree,disagree,agree,agree,probably not,49,canada,male,high school,i am not currently studying,3,yes ,4,30 minutes to 1 hour
BC,bc,British Columbia,strongly agree,neutral,yes,moderately comfortable,important,no,yes,yes i do know it is ,zed,important,probably yes,definitely yes,definitely not,yes ,singaporean english,,yes,yes,definitely yes,definitely yes,disagree,disagree,strongly agree,disagree,definitely yes,39,canada,male,postgraduate degree,fourth year+i am in a graduate program,0,no,,12 hours
BC,bc,British Columbia,strongly agree,probably yes,yes,neither comfortable nor uncomfortable,,that depends ,not sure,yes but i cant describe it well,zee,neither unimportant nor important,probably not,probably yes,definitely not,yes ,no particular variety,sometimes,yes,yes,probably yes,definitely yes,disagree,disagree,agree,strongly agree,probably yes,24,canada,female,high school,fourth year+,4,yes ,3,24 hours
MB,mb,British Columbia,strongly agree,definitely yes,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,often,yes,yes,definitely yes,might or might not,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,64,canada,female,postgraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
BC,bc,British Columbia,agree,probably yes,no,,,yes,no,,zed,neither unimportant nor important,might or might not,probably yes,,yes ,no particular variety,sometimes,yes,yes,probably yes,probably not,disagree,disagree,,neither disagree nor agree,probably yes,24,canada,female,undergraduate degree,fourth year+,0,no,,24 hours
US,us,Quebec,strongly agree,probably yes,yes,moderately comfortable,important,yes,yes,yes but i cant describe it well,zee,important,might or might not,probably yes,,yes ,british english,sometimes,yes,yes,definitely yes,might or might not,disagree,disagree,agree,neither disagree nor agree,probably yes,24,canada,female,undergraduate degree,third year,2,no,,30 minutes to 1 hour
BC,bc,Ontario,strongly agree,probably yes,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,zee,important,probably yes,probably yes,definitely not,no,british english,sometimes,,neither yes or no,probably yes,probably yes,strongly disagree,strongly disagree,strongly agree,disagree,probably yes,24,canada,female,undergraduate degree,fourth year+,1,no,,12 hours
BC,bc,British Columbia,strongly agree,probably yes,yes,moderately comfortable,important,that depends ,no,,zed,neither unimportant nor important,might or might not,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,neither disagree nor agree,disagree,agree,disagree,probably yes,24,canada,female,high school,third year,0,no,,30 minutes to 1 hour
BC,bc,British Columbia,strongly agree,probably yes,yes,extremely comfortable,important,that depends ,no,,both,important,definitely yes,probably yes,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,strongly agree,strongly agree,probably yes,19,canada,female,other ,second year,4,yes ,10,46 hours
BC,bc,British Columbia,strongly agree,probably yes,no,,important,,not sure,,both,important,probably yes,probably yes,probably not,yes ,no particular variety,sometimes,yes,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,female,high school,i am not currently studying,1,no,,24 hours
BC,bc,British Columbia,strongly agree,probably yes,no,,extremely important,no,not sure,yes but i cant describe it well,both,very unimportant,might or might not,definitely not,definitely not,no,british english,often,,definitely not,definitely yes,definitely yes,disagree,strongly disagree,strongly agree,agree,probably yes,24,canada,female,high school,third year,0,no,,12 hours
BC,bc,Quebec,strongly agree,definitely yes,yes,moderately comfortable,,yes,no,yes i do know it is ,zee,important,definitely yes,definitely yes,definitely not,yes ,no particular variety,often,yes,yes,definitely yes,definitely yes,,strongly disagree,strongly agree,strongly agree,definitely yes,24,canada,female,high school,fourth year+,4,yes ,7,24 hours
US,us,United States,strongly agree,definitely yes,yes,moderately uncomfortable,unimportant,that depends ,not sure,,zee,unimportant,probably not,probably not,,yes ,british english,always,yes,no,definitely yes,probably not,strongly disagree,strongly disagree,agree,neither disagree nor agree,definitely yes,24,united states,female,undergraduate degree,i am not currently studying,2,no,,12 hours
ON,on,Quebec,strongly agree,probably yes,yes,moderately uncomfortable,extremely important,no,no,,zed,very important,probably yes,probably yes,probably yes,yes ,canadian english,sometimes,yes,no,definitely yes,probably yes,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,female,high school,fourth year+,3,no,,12 hours
