region,region_previous,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,gender,edu_comp,degree_year,eui,dist_cult,eoi,soc_media
other,,Ontario,agree,definitely not,yes,extremely comfortable,important,that depends ,no,,zed,neither unimportant nor important,probably not,probably not,definitely not,,other ,sometimes,,neither yes or no,definitely yes,definitely yes,strongly agree,strongly disagree,neither disagree nor agree,,probably yes,39,canada,male,undergraduate degree,i am not currently studying,0,yes ,2,i dont use social media
NS,ns,Prince Edward Island,strongly agree,neutral,no,,important,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,definitely not,yes ,british english,sometimes,yes,no,probably yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,,79,canada,female,graduate degree,i am not currently studying,0,yes ,12,12 hours
NB,nb,New Brunswick,strongly agree,definitely yes,yes,moderately uncomfortable,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,,,british english,often,yes,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,disagree,disagree,definitely yes,54,canada,male,postgraduate degree,i am not currently studying,0,yes ,8,12 hours
other,,British Columbia,strongly agree,,yes,extremely comfortable,,that depends ,no,,,very important,,definitely yes,probably yes,no,no particular variety,often,,no,probably yes,definitely yes,neither disagree nor agree,disagree,agree,agree,probably yes,19,canada,male,elementary school,i am not currently studying,2,yes ,6,12 hours
QC,qc,New Brunswick,strongly disagreee,definitely yes,yes,extremely comfortable,important,that depends ,not sure,yes but i cant describe it well,zed,neither unimportant nor important,,probably not,probably yes,yes ,no particular variety,often,yes,neither yes or no,definitely yes,probably not,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,39,canada,other,graduate degree,i am not currently studying,5,no,,12 hours
PE,pei,Nova Scotia,agree,neutral,no,,important,that depends ,not sure,,zed,important,definitely yes,,probably yes,,british english,often,yes,neither yes or no,definitely yes,definitely yes,agree,neither disagree nor agree,disagree,disagree,,44,canada,female,postgraduate degree,i am in a graduate program,0,yes ,11,24 hours
NS,ns,Prince Edward Island,strongly agree,definitely yes,yes,extremely comfortable,extremely important,no,not sure,,both,neither unimportant nor important,definitely yes,probably yes,definitely not,no,british english,often,yes,yes,probably yes,probably yes,agree,agree,agree,agree,probably yes,29,canada,female,graduate degree,i am not currently studying,2,no,,12 hours
other,,British Columbia,agree,neutral,yes,moderately comfortable,unimportant,yes,no,yes but i cant describe it well,zee,unimportant,might or might not,probably not,probably yes,no,british english,often,yes,yes,probably yes,definitely yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,male,high school,fourth year+,5,no,,12 hours
ON,on,British Columbia,strongly agree,probably yes,yes,extremely comfortable,,no,no,,zee,neither unimportant nor important,might or might not,probably not,probably yes,no,no particular variety,rarely,,no,probably yes,probably yes,agree,neither disagree nor agree,,neither disagree nor agree,probably not,24,canada,female,undergraduate degree,i am not currently studying,2,yes ,7,46 hours
ON,on,British Columbia,strongly agree,definitely yes,no,,important,no,yes,yes but i cant describe it well,zed,very important,probably yes,probably yes,,,british english,sometimes,yes,no,definitely yes,definitely yes,agree,disagree,agree,neither disagree nor agree,probably yes,19,canada,female,high school,second year,0,yes ,10,46 hours
ON,on,Ontario,strongly agree,definitely yes,yes,moderately comfortable,,that depends ,no,,zed,important,probably yes,probably not,probably not,yes ,british english,often,yes,yes,definitely yes,probably yes,agree,agree,agree,neither disagree nor agree,definitely yes,19,canada,female,high school,first year,1,no,,24 hours
PE,pei,Prince Edward Island,agree,probably yes,no,,important,that depends ,yes,yes i do know it is ,zed,important,probably yes,probably yes,probably not,,british english,often,yes,yes,definitely yes,probably yes,agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,64,canada,male,undergraduate degree,i am not currently studying,0,yes ,11,24 hours
other,china,British Columbia,agree,probably yes,yes,extremely comfortable,,yes,no,,zee,unimportant,probably yes,probably not,probably not,no,american english,never,yes,yes,definitely yes,definitely yes,disagree,disagree,agree,disagree,probably yes,24,canada,female,high school,fourth year+,0,no,,46 hours
NB,nb,Quebec,strongly agree,probably yes,yes,moderately comfortable,unimportant,no,no,,zed,important,definitely yes,definitely yes,definitely not,no,british english,sometimes,yes,yes,probably not,probably yes,disagree,disagree,agree,neither disagree nor agree,probably yes,24,canada,male,undergraduate degree,i am not currently studying,2,no,,46 hours
other,china,other,strongly agree,,yes,extremely comfortable,unimportant,yes,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,,yes ,no particular variety,always,no,definitely not,probably not,probably yes,disagree,disagree,strongly agree,agree,probably yes,24,singapore,female,high school,fourth year+,1,yes ,8,30 minutes to 1 hour
other,nfl,New Brunswick,strongly agree,neutral,yes,moderately comfortable,important,yes,no,,zee,important,definitely yes,probably not,probably not,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,strongly agree,agree,neither disagree nor agree,disagree,probably yes,34,canada,female,graduate degree,i am not currently studying,0,no,,24 hours
ON,on,New Brunswick,somewhat agree,definitely not,yes,moderately comfortable,important,that depends ,no,,zed,important,definitely yes,definitely yes,definitely not,yes ,no particular variety,sometimes,yes,,definitely yes,probably yes,strongly agree,agree,disagree,strongly disagree,definitely yes,39,canada,male,undergraduate degree,i am in a graduate program,1,no,,12 hours
other,,British Columbia,strongly disagreee,probably yes,yes,moderately comfortable,,yes,no,,zed,important,probably yes,probably not,probably not,no,jamaican english,rarely,,no,definitely yes,definitely not,disagree,disagree,neither disagree nor agree,neither disagree nor agree,probably yes,14,canada,female,elementary school,i am not currently studying,1,no,,more than 8 hours
NB,nb,New Brunswick,strongly agree,neutral,yes,moderately comfortable,important,yes,no,,both,neither unimportant nor important,probably not,probably yes,probably not,no,no particular variety,sometimes,yes,yes,might or might not,probably not,strongly agree,strongly agree,strongly agree,strongly agree,probably yes,54,canada,female,other ,i am not currently studying,2,no,,less than 30 minutes
NB,nb,New Brunswick,strongly agree,definitely yes,yes,extremely comfortable,extremely important,yes,yes,yes but i cant describe it well,both,very important,definitely yes,definitely yes,definitely not,yes ,canadian english,sometimes,yes,definitely yes,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,strongly agree,probably yes,34,canada,female,high school,third year,4,yes ,8,less than 30 minutes
other,chile,New Brunswick,strongly agree,definitely yes,yes,moderately comfortable,extremely important,no,no,,both,important,probably not,probably not,probably yes,yes ,no particular variety,rarely,yes,yes,definitely yes,might or might not,disagree,disagree,agree,agree,probably yes,29,canada,female,undergraduate degree,i am in a graduate program,5,yes ,3,12 hours
PE,pei,Prince Edward Island,strongly agree,definitely yes,yes,moderately comfortable,,that depends ,yes,yes but i cant describe it well,both,neither unimportant nor important,probably not,definitely yes,definitely not,yes ,no particular variety,often,,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,strongly agree,agree,probably yes,29,canada,male,undergraduate degree,i am not currently studying,0,no,,less than 30 minutes
NB,nb,New Brunswick,strongly agree,probably yes,no,,extremely important,that depends ,yes,yes but i cant describe it well,both,very important,definitely yes,probably not,probably not,,british english,often,yes,definitely yes,definitely yes,probably yes,disagree,disagree,agree,strongly agree,probably yes,29,canada,female,undergraduate degree,i am not currently studying,0,no,,24 hours
PE,pei,Prince Edward Island,strongly agree,probably yes,yes,moderately uncomfortable,important,no,no,,zed,neither unimportant nor important,might or might not,probably not,probably yes,yes ,british english,sometimes,yes,no,definitely yes,definitely yes,agree,neither disagree nor agree,disagree,strongly agree,probably not,34,canada,female,graduate degree,i am not currently studying,0,no,,12 hours
ON,on,Ontario,strongly agree,definitely yes,yes,extremely comfortable,extremely important,yes,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,no,canadian english,always,yes,yes,definitely yes,might or might not,strongly agree,strongly agree,strongly agree,agree,definitely yes,49,canada,male,graduate degree,i am not currently studying,0,yes ,9,less than 30 minutes
BC,bc,British Columbia,strongly agree,definitely yes,yes,moderately comfortable,,no,no,,zed,neither unimportant nor important,might or might not,probably yes,probably not,,no particular variety,sometimes,yes,yes,definitely yes,definitely yes,disagree,strongly disagree,neither disagree nor agree,strongly disagree,probably yes,24,canada,female,undergraduate degree,i am not currently studying,4,yes ,8,46 hours
QC,qc,Prince Edward Island,strongly agree,definitely yes,yes,extremely comfortable,extremely important,that depends ,not sure,yes but i cant describe it well,both,important,definitely yes,,probably not,yes ,british english,always,yes,definitely yes,definitely yes,definitely yes,strongly agree,strongly agree,agree,agree,probably yes,34,canada,female,graduate degree,i am not currently studying,9,no,,24 hours
PE,pei,Prince Edward Island,agree,probably yes,yes,moderately uncomfortable,important,yes,no,yes but i cant describe it well,both,important,probably yes,definitely yes,definitely not,no,british english,often,,yes,definitely yes,definitely yes,strongly agree,agree,,agree,probably yes,34,canada,male,undergraduate degree,i am not currently studying,0,no,,less than 30 minutes
PE,pei,New Brunswick,agree,neutral,no,,important,no,not sure,,zee,very unimportant,definitely not,probably not,definitely not,yes ,other ,often,no,,definitely yes,probably yes,neither disagree nor agree,disagree,agree,neither disagree nor agree,,44,canada,female,high school,i am not currently studying,0,no,,less than 30 minutes
NB,nb,New Brunswick,strongly agree,neutral,yes,moderately comfortable,important,,yes,yes but i cant describe it well,zed,important,probably yes,probably yes,probably not,no,british english,sometimes,yes,neither yes or no,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,39,canada,female,undergraduate degree,i am not currently studying,1,no,,24 hours
ON,on,British Columbia,strongly agree,probably yes,no,,,no,no,,zee,unimportant,probably yes,probably not,probably not,yes ,british english,rarely,yes,yes,probably yes,might or might not,disagree,disagree,strongly agree,strongly agree,probably yes,24,canada,female,high school,fourth year+,0,yes ,,24 hours
NB,nb,New Brunswick,agree,probably not,yes,moderately comfortable,important,yes,yes,yes but i cant describe it well,zed,important,probably yes,probably not,probably not,no,british english,sometimes,yes,yes,definitely yes,probably yes,strongly agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,54,canada,male,postgraduate degree,i am not currently studying,0,yes ,5,24 hours
QC,qc,Quebec,strongly agree,definitely yes,yes,extremely comfortable,,that depends ,no,,zed,neither unimportant nor important,definitely not,probably not,definitely not,yes ,british english,often,yes,neither yes or no,definitely yes,definitely yes,strongly agree,agree,,strongly agree,,24,canada,female,other ,second year,3,no,,24 hours
PE,pei,Prince Edward Island,strongly agree,definitely yes,no,,extremely important,that depends ,no,,zed,important,probably yes,probably yes,,yes ,british english,often,yes,yes,definitely yes,definitely not,disagree,disagree,neither disagree nor agree,strongly agree,probably yes,54,canada,male,other ,i am not currently studying,0,yes ,15,46 hours
NB,nb,New Brunswick,strongly agree,definitely yes,yes,moderately comfortable,important,yes,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,definitely not,,no particular variety,often,yes,yes,probably yes,definitely yes,agree,agree,agree,agree,probably yes,44,canada,male,undergraduate degree,i am not currently studying,4,no,,12 hours
UK,uk,British Columbia,strongly agree,definitely yes,yes,moderately comfortable,unimportant,that depends ,not sure,,zed,very important,might or might not,probably not,definitely not,no,british english,often,no,yes,probably not,probably not,agree,agree,agree,disagree,definitely yes,69,canada,female,postgraduate degree,i am not currently studying,6,yes ,4,less than 30 minutes
BC,bc,British Columbia,agree,probably yes,no,,important,that depends ,no,,both,neither unimportant nor important,probably not,probably not,probably yes,,no particular variety,sometimes,yes,yes,definitely yes,definitely yes,agree,disagree,agree,agree,probably yes,29,canada,female,high school,i am not currently studying,0,no,,24 hours
NB,nb,Ontario,strongly agree,probably not,yes,moderately comfortable,extremely important,no,yes,yes but i cant describe it well,zed,very important,probably yes,definitely not,definitely not,,british english,sometimes,yes,definitely yes,might or might not,probably not,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably not,49,canada,female,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
PE,pei,Prince Edward Island,agree,probably yes,yes,moderately comfortable,extremely important,yes,no,,zed,important,probably yes,probably yes,probably not,,british english,sometimes,yes,neither yes or no,definitely yes,definitely yes,strongly disagree,strongly disagree,agree,neither disagree nor agree,probably yes,34,canada,male,undergraduate degree,i am not currently studying,2,no,,30 minutes to 1 hour
NB,nb,New Brunswick,agree,probably yes,yes,moderately comfortable,extremely important,no,yes,yes but i cant describe it well,zed,very important,definitely yes,probably yes,probably not,,canadian english,often,yes,yes,definitely yes,definitely yes,strongly agree,agree,agree,neither disagree nor agree,probably yes,24,canada,male,postgraduate degree,i am not currently studying,4,no,,24 hours
ON,on,Prince Edward Island,strongly disagreee,probably not,no,,extremely important,yes,no,yes but i cant describe it well,zed,very important,definitely yes,probably yes,definitely not,no,british english,often,yes,definitely yes,definitely yes,might or might not,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,49,canada,female,undergraduate degree,other degree ,1,yes ,0,30 minutes to 1 hour
NB,nb,New Brunswick,strongly agree,probably yes,yes,extremely comfortable,extremely important,that depends ,no,,zed,very important,definitely yes,probably yes,definitely not,no,british english,sometimes,yes,definitely yes,definitely yes,probably yes,disagree,disagree,,strongly agree,probably yes,49,canada,female,undergraduate degree,i am not currently studying,2,no,,30 minutes to 1 hour
other,,British Columbia,agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably yes,probably yes,probably yes,no,american english,sometimes,no,no,probably yes,probably yes,neither disagree nor agree,disagree,neither disagree nor agree,agree,probably not,14,canada,male,high school,i am not currently studying,2,no,,30 minutes to 1 hour
PE,pei,Prince Edward Island,agree,probably not,no,,important,yes,no,,zed,neither unimportant nor important,might or might not,probably not,,yes ,no particular variety,sometimes,yes,neither yes or no,probably yes,might or might not,disagree,disagree,neither disagree nor agree,neither disagree nor agree,probably not,34,canada,male,undergraduate degree,i am not currently studying,0,no,,12 hours
US,us,British Columbia,strongly agree,neutral,no,,,,no,,zee,neither unimportant nor important,probably not,,definitely not,yes ,british english,often,no,neither yes or no,definitely yes,definitely yes,disagree,agree,agree,agree,definitely yes,34,canada,female,high school,i am not currently studying,0,yes ,2,24 hours
PE,pei,Prince Edward Island,agree,probably yes,no,,extremely important,yes,no,yes but i cant describe it well,both,important,definitely yes,definitely yes,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,agree,agree,agree,neither disagree nor agree,definitely yes,34,canada,female,undergraduate degree,i am not currently studying,0,no,,46 hours
PE,pei,Prince Edward Island,strongly agree,definitely yes,no,,important,yes,no,,both,neither unimportant nor important,might or might not,probably yes,probably not,yes ,no particular variety,rarely,no,neither yes or no,definitely yes,probably yes,agree,agree,agree,neither disagree nor agree,probably yes,44,canada,male,other ,i am not currently studying,0,no,,30 minutes to 1 hour
other,,British Columbia,somewhat agree,definitely yes,yes,moderately comfortable,important,,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,,,,no particular variety,rarely,,neither yes or no,probably yes,might or might not,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,,14,canada,female,elementary school,i am not currently studying,10,yes ,7,24 hours
other,china,British Columbia,agree,probably not,yes,extremely comfortable,important,that depends ,yes,yes but i cant describe it well,zee,important,probably yes,probably yes,,no,american english,always,yes,definitely yes,probably yes,probably yes,agree,agree,,agree,probably yes,24,canada,female,undergraduate degree,third year,6,yes ,,24 hours
PE,pei,Nova Scotia,,probably not,yes,extremely comfortable,extremely important,yes,yes,yes but i cant describe it well,both,important,probably yes,probably yes,probably not,yes ,no particular variety,often,yes,definitely yes,definitely yes,probably yes,neither disagree nor agree,disagree,neither disagree nor agree,disagree,definitely yes,49,canada,other,high school,i am not currently studying,2,no,,i dont use social media
NB,nb,New Brunswick,strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,no,,zed,neither unimportant nor important,might or might not,probably yes,probably not,no,no particular variety,often,yes,yes,definitely yes,might or might not,agree,agree,agree,disagree,probably yes,54,canada,male,graduate degree,i am not currently studying,5,no,,30 minutes to 1 hour
NB,nb,New Brunswick,agree,probably yes,no,,important,yes,yes,yes but i cant describe it well,zed,important,probably yes,probably yes,probably not,,british english,sometimes,yes,yes,definitely yes,probably yes,agree,agree,agree,agree,probably yes,39,canada,male,high school,i am not currently studying,1,no,,30 minutes to 1 hour
NB,nb,New Brunswick,strongly agree,neutral,no,,important,yes,yes,yes but i cant describe it well,zed,important,probably yes,probably not,probably not,no,british english,sometimes,yes,neither yes or no,definitely yes,definitely yes,disagree,disagree,,neither disagree nor agree,probably yes,34,canada,male,postgraduate degree,i am not currently studying,1,no,,30 minutes to 1 hour
NS,ns,Nova Scotia,strongly agree,probably not,no,,important,yes,no,yes i do know it is ,both,important,might or might not,probably not,definitely not,yes ,british english,often,yes,yes,definitely yes,definitely yes,strongly agree,strongly disagree,strongly agree,strongly disagree,probably not,49,canada,female,undergraduate degree,i am not currently studying,0,no,,46 hours
BC,bc,British Columbia,strongly agree,neutral,yes,extremely comfortable,extremely unimportant,yes,yes,yes but i cant describe it well,both,neither unimportant nor important,definitely not,probably yes,definitely not,yes ,no particular variety,often,,neither yes or no,definitely yes,definitely yes,neither disagree nor agree,strongly disagree,strongly agree,strongly agree,definitely yes,39,canada,female,graduate degree,i am in a graduate program,0,no,,46 hours
BC,bc,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,unimportant,that depends ,no,,both,neither unimportant nor important,probably yes,probably not,probably not,,british english,rarely,yes,yes,probably yes,probably yes,neither disagree nor agree,disagree,agree,agree,,24,canada,female,undergraduate degree,third year,0,yes ,4,24 hours
BC,bc,British Columbia,strongly agree,neutral,no,,important,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,might or might not,definitely yes,definitely not,,british english,often,yes,yes,definitely yes,definitely yes,agree,neither disagree nor agree,agree,agree,definitely yes,39,canada,female,graduate degree,i am not currently studying,0,yes ,9,12 hours
PE,pei,Prince Edward Island,somewhat agree,probably yes,yes,neither comfortable nor uncomfortable,,yes,not sure,,zee,,probably not,probably yes,probably not,no,no particular variety,often,no,definitely not,definitely yes,probably yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,probably yes,39,canada,male,graduate degree,first year,1,yes ,8,12 hours
QC,qc,British Columbia,strongly disagreee,definitely yes,yes,extremely comfortable,important,yes,yes,yes but i cant describe it well,both,unimportant,probably yes,definitely not,probably yes,yes ,canadian english,always,no,yes,definitely yes,definitely yes,agree,agree,agree,agree,definitely not,59,canada,male,high school,i am not currently studying,2,yes ,15,24 hours
NS,ns,Prince Edward Island,strongly agree,probably not,yes,extremely comfortable,,no,not sure,,zed,neither unimportant nor important,,probably not,probably yes,no,british english,sometimes,,,definitely yes,probably yes,strongly disagree,strongly disagree,strongly agree,strongly disagree,definitely yes,44,canada,male,undergraduate degree,i am not currently studying,0,no,,12 hours
BC,bc,British Columbia,strongly agree,probably yes,yes,extremely comfortable,,no,no,,zed,important,probably yes,probably yes,definitely not,no,british english,sometimes,yes,yes,definitely yes,definitely yes,disagree,disagree,strongly agree,disagree,probably yes,24,canada,female,undergraduate degree,i am not currently studying,4,yes ,10,68 hours
US,us,British Columbia,strongly agree,neutral,yes,extremely comfortable,unimportant,that depends ,no,,zee,important,probably yes,definitely yes,definitely not,yes ,british english,often,yes,yes,definitely yes,probably yes,disagree,disagree,strongly agree,agree,definitely yes,39,canada,male,postgraduate degree,i am not currently studying,0,yes ,1,12 hours
QC,qc,Prince Edward Island,strongly agree,probably not,yes,moderately comfortable,important,no,yes,yes i do know it is ,both,important,definitely yes,probably yes,definitely not,,british english,sometimes,yes,yes,definitely yes,definitely yes,strongly agree,agree,agree,agree,,59,canada,female,high school,i am not currently studying,0,no,,46 hours
BC,bc,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,extremely unimportant,no,no,,zed,neither unimportant nor important,probably yes,definitely not,,yes ,british english,never,yes,yes,definitely not,probably not,agree,strongly disagree,agree,agree,probably not,24,canada,female,high school,fourth year+,6,yes ,7,24 hours
PE,pei,other,agree,probably not,no,,important,yes,no,,zed,neither unimportant nor important,probably not,probably not,probably yes,no,british english,often,yes,yes,definitely yes,might or might not,strongly agree,disagree,strongly agree,agree,probably not,49,,male,high school,i am not currently studying,0,no,,12 hours
PE,pei,Prince Edward Island,agree,definitely yes,no,,important,that depends ,no,,zed,neither unimportant nor important,probably not,,definitely not,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,neither disagree nor agree,disagree,,neither disagree nor agree,probably yes,34,canada,female,undergraduate degree,i am not currently studying,0,no,,24 hours
PE,pei,Prince Edward Island,somewhat agree,definitely not,no,,unimportant,yes,no,,zee,neither unimportant nor important,might or might not,definitely not,probably yes,no,american english,sometimes,no,neither yes or no,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,strongly disagree,probably yes,29,canada,male,high school,i am not currently studying,0,no,,12 hours
PE,pei,Prince Edward Island,strongly agree,probably not,yes,moderately comfortable,important,yes,no,,zed,neither unimportant nor important,probably yes,probably not,definitely not,yes ,no particular variety,often,,yes,definitely yes,probably not,disagree,disagree,agree,disagree,probably yes,34,canada,male,undergraduate degree,i am not currently studying,0,no,,12 hours
PE,pei,Prince Edward Island,strongly agree,neutral,no,,important,yes,not sure,yes but i cant describe it well,both,important,probably yes,probably yes,probably not,,no particular variety,rarely,yes,yes,definitely yes,probably yes,strongly agree,agree,strongly agree,neither disagree nor agree,probably yes,34,canada,male,graduate degree,i am not currently studying,0,no,,12 hours
PE,pei,Prince Edward Island,agree,probably yes,yes,neither comfortable nor uncomfortable,,that depends ,no,,zee,important,probably yes,probably yes,probably not,yes ,british english,sometimes,yes,,definitely yes,definitely yes,disagree,disagree,neither disagree nor agree,disagree,probably yes,29,canada,male,undergraduate degree,i am not currently studying,0,no,,24 hours
NB,nb,Prince Edward Island,strongly agree,neutral,no,,extremely important,no,yes,yes i do know it is ,both,important,probably yes,definitely yes,definitely not,yes ,british english,often,yes,yes,probably yes,probably yes,agree,agree,agree,agree,probably yes,29,canada,female,graduate degree,i am not currently studying,0,yes ,12,i dont use social media
US,us,United States,strongly agree,probably yes,no,,extremely unimportant,yes,yes,yes but i cant describe it well,zee,very unimportant,definitely not,definitely yes,definitely not,yes ,british english,sometimes,no,definitely not,probably yes,probably yes,strongly agree,disagree,neither disagree nor agree,strongly disagree,definitely yes,24,united states,male,high school,fourth year+,0,no,,less than 30 minutes
other,australia,other,strongly agree,definitely yes,yes,moderately uncomfortable,important,that depends ,yes,yes i do know it is ,zed,neither unimportant nor important,probably yes,probably yes,probably not,,british english,often,yes,yes,might or might not,might or might not,agree,agree,agree,agree,definitely yes,74,australia,male,undergraduate degree,i am not currently studying,2,yes ,11,12 hours
PE,pei,Prince Edward Island,strongly agree,neutral,no,,unimportant,no,no,,both,unimportant,definitely not,definitely yes,definitely not,no,no particular variety,sometimes,yes,definitely not,definitely yes,probably yes,disagree,strongly disagree,agree,disagree,probably not,19,canada,other,other ,i am not currently studying,0,no,,24 hours
other,,United States,strongly agree,,no,,unimportant,that depends ,no,,zee,neither unimportant nor important,might or might not,probably yes,,yes ,no particular variety,sometimes,,neither yes or no,definitely yes,probably yes,disagree,disagree,strongly agree,disagree,,24,united states,male,high school,second year,0,no,,i dont use social media
AB,ab,British Columbia,strongly agree,probably yes,yes,moderately comfortable,important,that depends ,yes,yes i do know it is ,zed,important,definitely yes,probably not,definitely not,,no particular variety,sometimes,yes,yes,definitely yes,probably yes,agree,agree,agree,neither disagree nor agree,definitely yes,59,canada,male,postgraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
ON,on,Ontario,agree,probably yes,no,,unimportant,that depends ,yes,yes i do know it is ,zed,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,no particular variety,often,yes,yes,definitely yes,,disagree,disagree,agree,disagree,definitely yes,64,canada,male,graduate degree,i am not currently studying,0,yes ,12,less than 30 minutes
ON,on,Ontario,strongly disagreee,probably yes,yes,neither comfortable nor uncomfortable,,that depends ,yes,yes but i cant describe it well,zed,important,might or might not,probably yes,,,british english,sometimes,yes,neither yes or no,definitely yes,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,19,canada,female,elementary school,other degree ,0,no,,46 hours
other,china,Ontario,,neutral,yes,moderately comfortable,unimportant,no,not sure,,both,neither unimportant nor important,might or might not,,,no,no particular variety,,,neither yes or no,probably yes,probably yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably not,19,canada,female,elementary school,i am not currently studyingother degree ,6,yes ,3,46 hours
PE,pei,Prince Edward Island,strongly agree,neutral,no,,unimportant,that depends ,not sure,,both,unimportant,probably not,probably yes,probably not,yes ,british english,often,yes,yes,definitely yes,definitely yes,disagree,disagree,,disagree,definitely yes,24,canada,female,high school,fourth year+,0,no,,24 hours
PE,pei,Prince Edward Island,agree,neutral,yes,neither comfortable nor uncomfortable,important,yes,yes,,zed,neither unimportant nor important,definitely yes,definitely yes,definitely not,no,no particular variety,often,yes,definitely yes,might or might not,probably yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,definitely yes,44,canada,female,graduate degree,i am not currently studying,0,no,,less than 30 minutes
ON,on,Ontario,strongly agree,probably yes,no,,extremely important,,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably yes,probably yes,,no,no particular variety,never,yes,,probably yes,definitely yes,,disagree,agree,disagree,,19,canada,female,elementary school,i am not currently studying,0,no,,30 minutes to 1 hour
PE,pei,Nova Scotia,agree,probably yes,no,,important,that depends ,not sure,,zed,important,probably yes,probably not,definitely not,yes ,british english,sometimes,,neither yes or no,definitely yes,definitely yes,agree,neither disagree nor agree,neither disagree nor agree,agree,probably yes,54,canada,female,other ,i am not currently studying,0,no,,68 hours
BC,bc,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,,no,no,,zed,very unimportant,probably not,probably yes,definitely not,no,british english,rarely,yes,yes,definitely yes,definitely yes,disagree,disagree,strongly agree,disagree,probably yes,24,canada,female,undergraduate degree,i am not currently studying,2,yes ,3,46 hours
MB,mb,Prince Edward Island,strongly agree,probably yes,no,,important,that depends ,no,,zee,neither unimportant nor important,probably yes,probably yes,definitely not,,british english,often,yes,,definitely yes,definitely not,neither disagree nor agree,disagree,,disagree,probably yes,44,canada,female,high school,other degree ,0,no,,46 hours
PE,pei,Prince Edward Island,,definitely not,yes,extremely comfortable,,that depends ,yes,yes i do know it is ,zee,very unimportant,probably not,definitely not,definitely not,yes ,british english,sometimes,,,probably yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,strongly disagree,definitely yes,54,canada,other,graduate degree,i am not currently studying,0,yes ,15,30 minutes to 1 hour
BC,bc,British Columbia,strongly agree,definitely yes,yes,moderately comfortable,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,definitely not,yes ,no particular variety,often,yes,definitely yes,definitely yes,probably yes,strongly agree,agree,strongly agree,strongly agree,definitely yes,24,canada,male,undergraduate degree,fourth year+,4,yes ,9,68 hours
ON,on,Ontario,agree,definitely yes,no,,extremely important,yes,yes,,zed,very important,probably yes,probably yes,probably not,yes ,no particular variety,often,yes,definitely yes,definitely yes,definitely yes,disagree,disagree,agree,agree,probably yes,74,canada,female,undergraduate degree,i am not currently studying,0,no,,24 hours
other,china,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,important,no,yes,yes but i cant describe it well,zed,,definitely yes,probably yes,definitely not,yes ,british english,sometimes,yes,yes,definitely yes,probably yes,agree,disagree,,agree,probably yes,24,canada,female,high school,third year,0,yes ,8,46 hours
